map,category,test_type,qn_category,gift_filename
,,,efisensors,04_efisensors.txt
,,,dieseleleccontrol,04_dieseleccontrol.txt
,,,obd,04_obd.txt
,,,altfuelsintro,04_altfuelsintro.txt
,,,biodiesel,04_biodiesel.txt
,,,gaseousfuels,04_gaseousfuels.txt
,,,altfuelsdev,04_altfuelsdev.txt
,,Find-The-Missing Word,gasfuelsysprinc,060_gasoline_principles.txt
,,,carbop,061_carburetor_op.txt
,,,carbsyscomp,062_carbureted_comp.txt
,,,efiprinciples,063_efi_principles.txt
,,,eficomp,064_efi_components.txt
,,,efioperation,069_efi_operation.txt
,,,intakeexhaustsys,054_intake_exhaust_sys.txt
,,,exhaustsyscomp,056_exhaust_comp.txt
,,,dieselfuelsys,066_diesel_fuel_sys.txt
,,,dieselfuelsyscomp,067_diesel_components.txt
,,,intakesysproc,057_intake_procedure.txt
,,,fuelsysproc,065_fuel_procedures.txt
,,,creationemissions,072_creation_of_emissions.txt
,,,typesemissions,073_types_of_emissions.txt
,,,emissioncontrol,074_emission_control.txt
,,,fuelsystems,164_ss_fuel_systems.txt
,,,emissionsproc,076_emissions_procedures.txt
,,,ecu,070_elec_control_unit.txt
,,,efisensors,071_efi_sensors.txt
,,,dieseleleccontrol,068_diesel_elec_control.txt
,,,obd,075_on-board_diagnostics.txt
,,,altfuelsintro,169_altfuelsintro.txt
,,,biodiesel,171_biodiesel.txt
,,,gaseousfuels,172_gaseousfuels.txt
,,,altfuelsdev,170_altfuelsdev.txt
,Transmission Systems,Topic Group Test,driveconfig,01_driveconfig.txt
,,,manualtrans,07_manualtrans.txt
,,,gearboxlayoutop,07_gearboxlayoutop.txt
,,,clutches,07_clutches.txt
,,,clutchcomp,07_clutchcomponents.txt
,,,basiclayouts,07_basiclayouts.txt
,,,frontwheeldrive,07_frontwhldrive.txt
,,,rearwheeldrive,07_rearwhldrive.txt
,,,fourwheeldrive,07_fourwhldrivept.txt
,,,allwheeldrive,07_allwheeldrives.txt
,,,torqueconverters,07_torqueconverters.txt
,,,planetarygearing,07_planetarygear.txt
,,,layoutop,07_layoutoperation.txt
,,,servosclutches,07_servosclutches.txt
,,,hydraulicsyscontrols,07_hydraulicsyscontrols.txt
,,,valvetypes,07_valvetypesfunctions.txt
,,,pressureregulation,07_pressurereg.txt
,,,flowcontrol,07_flowcontrol.txt
,,,eleccontroltrans,07_ect.txt
,,,cvt,07_cvt.txt
,,,clutchesmanualtransproc,07_clutchesmantransproc.txt
,,,finaldriveproc,07_finaldriveproc.txt
