map,category,test_type,qn_category,gift_filename
,,,rearsusp,049-GS_rear_susp_types_components.txt
,,,suspsysproc,050-GS_susp_system_procedures.txt
,,,tiretypes,051-GS_tire_types_characteristics.txt
,,,tireconstruction,052-GS_tire_construction.txt
,,,wheelstiresproc,054-GS_wheels_tires_procedures.txt
,,,brakingfundas,055-GS_braking_fundamentals.txt
,,,brakingsyscomp,056-GS_braking_system_components.txt
,,,drumbrakes,057-GS_drum_brakes_components.txt
,,,discbrakes,058-GS_disc_brakes_components.txt
,,,brakesproc,060-GS_brakes_procedures.txt
,,,clutches,061-GS_clutches.txt
,,,gearboxlayoutop,062-GS_gearbox_layout_op.txt
,,,clutchesmanualtransproc,105_clutch_procedures.txt
,,,basiclayouts,066-GS_basic_layouts.txt
,,,frontwheeldrive,067-GS_front-wheel_drive.txt
,,,rearwheeldrive,068-GS_rear-wheel_drive.txt
,,,finaldriveproc,122_final_drive_procedures.txt
,,,batteries,077-GS_batteries.txt
,,,batteryproc,078-GS_battery_maintenance_proc.txt
,,,ignitionsys,133_ignition_sys.txt
,,,contactbreakcomp,135_contact_breaker_comp.txt
,,,distributorless,137_distributorless_sys.txt
,,,ignitionproc,138_ignition_procedures.txt
,,,vehicleinspectionproc,006-GS_vehicle_inspection_procedures.txt
,Engine Systems,Topic Group Test,motivepowerfundprinc,03_motivepowerfundprinc.txt
,,,enginecycles,11_enginecycles.txt
,,,4strokesparkig,03_4strokesparkig.txt
,,,sparkigengcomp,03_sparkigengcomp.txt
,,,engines,11_engines.txt
,,,rotaryengcomp,03_rotaryengcomp.txt
,,,altenginecycles,03_altenginecycles.txt
,,,hybriddrivesystems,03_hybriddrivesystems.txt
,,,compressionignition,03_compressionignition.txt
,,,compressionignitioncomp,03_compressionignitioncomp.txt
,,,enginecharacteristics,03_enginecharacteristics.txt
,,,enginecomp,11_enginecomp.txt
,,,cylinderblocks,03_cylinderblocks.txt
,,,cylinderheads,03_cylinderheads.txt
,,,valvesvalvetrains,03_valvesvalvetrains.txt
,,,camshaftsdrives,03_camshaftsdrives.txt
,,,pistons,03_pistons.txt
,,,crankshaftassemblies,03_crankshaftassemblies.txt
,,,coolingfundamentals,03_coolingfundamentals.txt
,,,enginecooling,11_enginecooling.txt
,,,coolingsystems,03_coolingsystems.txt
,,,coolsyscomp,03_coolsyscomp.txt
,,,coolsysproc,03_coolsysproc.txt
,,,oil,03_oil.txt
,,,lubricationsys,03_lubricationsys.txt
,,,lubricationsyscomp,03_lubricationsyscomp.txt
,,,lubricationproc,03_lubricationproc.txt
,,,altfuelsintro,04_altfuelsintro.txt
,,,biodiesel,04_biodiesel.txt
,,,gaseousfuels,04_gaseousfuels.txt
,,,altfuelsdev,04_altfuelsdev.txt
,,,gasfuelsysprinc,04_gasfuelsysprinc.txt
,,,carbop,04_carbop.txt
,,,fuelsystems,11_fuelsystems.txt
,,,carbsyscomp,04_carbsyscomp.txt
,,,efifuelsysprinc,04_efifuelsysprinc.txt
,,,efifuelsyscomp,04_efifuelsyscomp.txt
,,,fuelsysproc,04_fuelsysproc.txt
,,,diesfuelsys,04_diesfuelsys.txt
,,,diesfuelsyscomp,04_diesfuelsyscomp.txt
,,,dieseleccontrol,04_dieseleccontrol.txt
,,,ignitionsys,08_ignitionsys.txt
,,,contactbreakig,08_contactbreakig.txt
,,,contactbreakcomp,08_contactbreakcomp.txt
,,,electronicsyscomp,08_electronicsyscomp.txt
,,,distribsys,08_distribsys.txt
,,,igproc,08_igproc.txt
,,,intakeexhaustsys,04_intakeexhaustsys.txt
,,,intakesystemcomp,04_intakesystemcomp.txt
,,,exhaustsyscomp,04_exhaustsyscomp.txt
,,,intakesysproc,04_intakesysproc.txt
,,Find-The-Missing Word,motive_fundamentals,021_motive_fundamentals.txt
,,,enginecycles,161_ss_engine_cycles.txt
,,,4stroke,022_4-stroke_engines.txt
,,,sparkignition,024_spark-ignition_comp.txt
,,,engines,160_ss_engines.txt
,,,rotaryengcomp,025_rotary.txt
,,,altenginecycles,026_alternative_cycles.txt
,,,hybriddrivesystems,027_hybrid_drive.txt
,,,compressionignition,028_compression_engines.txt
,,,compressionignitioncomp,029_compression_comp.txt
,,,enginecharacteristics,030_engine_characteristics.txt
,,,enginecomp,162_ss_engine_components.txt
,,,cylinderblocks,031_cyl_blocks.txt
,,,cylinderheads,032_cyl_heads.txt
,,,valvesvalvetrains,033_valves.txt
,,,camshafts,034_camshafts.txt
,,,pistons,035_pistons.txt
,,,crankshaftassemblies,036_crankshaft_assemb.txt
,,,enginecompproc,037_engine_proc.txt
,,,enginerebuildintro,038_eng_rebuilding.txt
,,,removeengine,039_remove_engine.txt
,,,enginedisassembly,040_engine_disassembly.txt
,,,enginemachining,041_engine_machining.txt
,,,enginepreassembly,042_engine_preassembly.txt
,,,enginefinalassembly,043_engine_final_assembly.txt
,,,enginereinstall,044_engine_reinstalling.txt
,,,enginestartup,045_engine_startup.txt
,,,coolingfundamentals,046_cool_fundamentals.txt
,,,enginecooling,163_ss_engine_cooling.txt
,,,coolingsys,047_cooling_systems.txt
,,,coolingsyscomp,048_cooling_components.txt
,,,coolingproc,049_cooling_procedures.txt
,,,oil,050_oil.txt
,,,lubesys,051_lub_systems.txt
,,,lubesyscomp,052_lub_components.txt
,,,lubeproc,053_lub_procedures.txt
,,,altfuelsintro,169_altfuelsintro.txt
,,,biodiesel,171_biodiesel.txt
,,,gaseousfuels,172_gaseousfuels.txt
,,,altfuelsdev,170_altfuelsdev.txt
,,,gasfuelsysprinc,060_gasoline_principles.txt
,,,carbop,061_carburetor_op.txt
,,,fuelsystems,164_ss_fuel_systems.txt
,,,carbsyscomp,062_carbureted_comp.txt
,,,efiprinciples,063_efi_principles.txt
,,,eficomp,064_efi_components.txt
,,,fuelsproc,065_fuel_procedures.txt
,,,dieselfuelsys,066_diesel_fuel_sys.txt
,,,dieselfuelsyscomp,067_diesel_components.txt
,,,dieseleccontrol,068_diesel_elec_control.txt
,,,ignitionsys,133_ignition_sys.txt
,,,contactbreakig,134_contact_breaker_ign.txt
,,,contactbreakcomp,135_contact_breaker_comp.txt
,,,electronicsyscomp,136_elec_sys_comp.txt
,,,distribsys,137_distributorless_sys.txt
,,,ignitionproc,138_ignition_procedures.txt
,,,intakeexhaustsys,054_intake_exhaust_sys.txt
,,,intakesyscomp,055_intake_comp.txt
,,,exhaustsyscomp,056_exhaust_comp.txt
,,,intakesysproc,057_intake_procedure.txt
,Vehicle Management Systems,Topic Group Test,creationemissions,04_creationemissions.txt
,,,typesemissions,04_typesemissions.txt
,,,emissioncontrol,04_emissioncontrol.txt
,,,efioperation,04_efioperation.txt
,,,ecu,04_ecu.txt
,,,efisensors,04_efisensors.txt
,,,obd,04_obd.txt
,,,emissionproc,04_emissionsproc.txt
,,Find-The-Missing Word,creationemissions,072_creation_of_emissions.txt
,,,typesemissions,073_types_of_emissions.txt
,,,emissioncontrol,074_emission_control.txt
,,,efioperation,069_efi_operation.txt
,,,ecu,070_elec_control_unit.txt
,,,efisensors,071_efi_sensors.txt
,,,obd,075_on-board_diagnostics.txt
,,,emissionsproc,076_emissions_procedures.txt
,Drive Line Systems,Topic Group Test,basiclayouts,07_basiclayouts.txt
,,,frontwheeldrive,07_frontwhldrive.txt
,,,rearwheeldrive,07_rearwhldrive.txt
,,,fourwheeldrive,07_fourwhldrivept.txt
,,,allwheeldrive,07_allwheeldrives.txt
,,,finaldrivesproc,07_finaldriveproc.txt
,,,manualtrans,07_manualtrans.txt
,,,gearboxlayoutop,07_gearboxlayoutop.txt
,,,torqueconverters,07_torqueconverters.txt
,,,planetarygearing,07_planetarygear.txt
,,,eleccontroltrans,07_ect.txt
,,,layoutop,07_layoutoperation.txt
,,,servosclutches,07_servosclutches.txt
,,,hydraulicsyscontrols,07_hydraulicsyscontrols.txt
,,,valvetypes,07_valvetypesfunctions.txt
,,,pressureregulation,07_pressurereg.txt
,,,flowcontrol,07_flowcontrol.txt
,,,cvt,07_cvt.txt
,,,autotransproc,07_autotransproc.txt
,,,clutches,07_clutches.txt
,,,clutchescomp,07_clutchcomponents.txt
,,,clutchesmanualtransproc,07_clutchesmantransproc.txt
,,Find-The-Missing Word,basiclayouts,117_basic_layouts.txt
,,,frontwheeldrive,118_front-wheel_drive.txt
,,,rearwheeldrive,119_rear-wheel_drive.txt
,,,fourwheeldrive,120_four-wheel_drive.txt
,,,allwheeldrive,121_all-wheel_drive.txt
,,,finaldriveproc,122_final_drive_procedures.txt
,,,manualtrans,103_man_transmissions.txt
,,,gearboxlayoutop,104_gearbox_layout.txt
,,,torqueconverters,106_torque_converters.txt
,,,planetarygearing,107_planetary_gearing.txt
,,,eleccontroltrans,108_elec_control_trans.txt
,,,layoutop,109_layout_operation.txt
,,,servosclutches,110_servos_clutches.txt
,,,hydraulicsyscontrols,111_hydraulic_sys_cntrls.txt
,,,valvetypes,112_valve_types.txt
,,,pressureregulation,113_pressure_regulation.txt
,,,flowcontrol,114_flow_control.txt
,,,cvt,115_cvt.txt
,,,autotransproc,116_auto_trans_procedures.txt
,,,clutches,101_clutches.txt
,,,clutchescomp,102_clutch_components.txt
,,,clutchesmanualtransproc,105_clutch_procedures.txt
,Elec & Comfort Control Systems,Topic Group Test,elecfundas,08_elecfund.txt
,,,electrics,11_electrics.txt
,,,sourceselec,08_sourceselec.txt
,,,effectselec,08_effectselec.txt
,,,circuitsmeasure,08_circuitsmeasurement.txt
,,,electestproc,08_electestproc.txt
,,,electricalcomp,08_electricalcomp.txt
,,,wires,08_wiresconnproc.txt
,,,electroniccomp,08_electroniccomp.txt
