Problem,Fault,Frating,Symptoms,Verification Tests,Verification Result,Vrating,Vpass,Verification Hint,Identification Tests,Identification Result,Irating,Ipass,Identification Hint,Rectification Actions,Rectification Result,Rrating,Rpass,Rectification Hint
Poor steering wheel return to center.,Caster too far negative.,A,Vehicle wanders.,Test drive vehicle for drivability and steering performance.,Steering wheel does not return to center by itself and  vehicle wanders.,1,Yes,How would you determine a steering (vehicle handling) issue identified by the customer is valid?,Check wheel alignment.,Caster too far negative.,1,Yes,What did the test drive reveal to you?,Perform wheel alignment.,"Well done, the caster was out of specifications, the wheel alignment revealed this.",1,Yes,How would you check to see if the steering geometry is within specifications?
,,,,Test drive vehicle to establish that the steering has no unusual feel when driving.,Steering wheel has no unusual feel when driving.,2,No,,Measure tire pressure.,Tire pressure is within specifications.,2,No,,Check tire for leaks. Repair/replace as needed.,This action did not resolve the issue.,2,No,
,,,,Test drive vehicle to establish that the steering requires no unusually high effort to turn when driving.,Steering wheel has no unusual feel when turning in either direction.,2,No,,Inspect power steering fluid level and condition.,Fluid level is within specifications.,2,No,,Top off power steering fluid and determine cause of low fluid level.,This action did not resolve the issue.,2,No,
,,,,Test drive vehicle to establish suspension shock absorber condition when travelling on different road conditions.,Vehicle returns to static position after bounce test as required.,2,No,,Inspect power steering belt/measure belt tension.,Power steering belt is in good condition.,2,No,,Replace/adjust power steering belt.,This action did not resolve the issue.,2,No,
,,,,Test drive vehicle to check for shimmy at different speeds.,"No steering wheel shimmies, even at higher speeds.",2,No,,Bounce test struts/shocks.,Struts/shock absorbers are not excessively worn.,2,No,,Replace struts/shocks.,This action did not resolve the issue.,2,No,
,,,,,,,,,Check wheel balance.,Wheel/tire is not out of balance.,2,No,,Balance wheel/tire assembly.,This action did not resolve the issue.,2,No,
